ID,Level,Category,Content,Type,Image ,,,,,
228,Intermediate,Safety and Boundaries,Stay with me.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/stay%20with%20me.svg,,,,,
229,Intermediate,Safety and Boundaries,That is dangerous.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/it%20iz%20dangg.svg,,,,,
230,Intermediate,Safety and Boundaries,Please do not run.,Phrase,,,,,,
231,Intermediate,Safety and Boundaries, stay close to you.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/stay%20close%20to%20me.svg,,,,,
232,Intermediate,Polite Expressions,Thank you.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/thnku.svg,,,,,
233,Intermediate,Polite Expressions,Please.come here ,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/please%20come%20here.svg,,,,,
234,Intermediate,Polite Expressions,Excuse me.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/excuse%20me.svg,,,,,
235,Intermediate,Polite Expressions,I am Sorry.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20am%20sorry.svg,,,,,
236,Intermediate,Polite Expressions,You're welcome.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/UR%20WELCOME.svg,,,,,
237,Intermediate,Recognizing and Responding,I see the car.,Phrase,file:///D:/jdk/FYP/Dataset_images/200-300/i%20c%20car.svg,,,,,
